layer,C,Hf,Wf,emb_lf_with,emb_mf_with,emb_hf_with,emb_lf_without,emb_mf_without,emb_hf_without,emb_lf_delta,emb_mf_delta,emb_hf_delta,emb_lf_cross,emb_mf_cross,emb_hf_cross,pix_lf_with,pix_hf_with,pix_lf_without,pix_hf_without,pix_lf_delta,pix_hf_delta
0,32,416,416,0.9996187594357864,0.00026220569995399163,0.00011903486425940068,0.9996418944283196,0.0002479564443788986,0.00011014912730151986,0.9567593466122158,0.025950775844062864,0.01728987754372126,0.9999999835790121,1.4666376794747396e-08,1.7546107187042854e-09,0.9999439837913328,1.1724238630573646e-05,0.9999484776450549,1.0560822551292809e-05,0.9977206275776551,0.0006278939542109013
1,64,208,208,0.9976851052605968,0.000992946107216359,0.0013219486321865818,0.9977872875550409,0.0009462958908350011,0.0012664165541242192,0.8634126767057791,0.05612752605483242,0.08045979723938838,0.9999997540946746,1.2294198021433194e-07,1.2296334518590088e-07,0.9999439837913328,1.1724238630573646e-05,0.9999484776450549,1.0560822551292809e-05,0.9977206275776551,0.0006278939542109013
5,128,104,104,0.9967508896434606,0.0013738400401791023,0.001875270316360518,0.9968766637056419,0.001297974414605557,0.0018253618797525206,0.7557442410264118,0.09645363309385904,0.14780212587972905,0.9999994861492512,2.0832652771992937e-07,3.0552422135226354e-07,0.9999439837913328,1.1724238630573646e-05,0.9999484776450549,1.0560822551292809e-05,0.9977206275776551,0.0006278939542109013
12,256,52,52,0.9933435014317772,0.0032324984838797426,0.00342400008434318,0.9936533986790983,0.003093295206427005,0.0032533061144745822,0.6528501123981083,0.16196790332673613,0.18518198427515534,0.9999950493879719,3.5369297984463862e-06,1.4136822296366888e-06,0.9999439837913328,1.1724238630573646e-05,0.9999484776450549,1.0560822551292809e-05,0.9977206275776551,0.0006278939542109013
37,512,26,26,0.9510924975239801,0.023833970821722426,0.025073531654297442,0.9538156969548394,0.02250107510815184,0.023683227937008822,0.5376936291988161,0.21349246396917515,0.2488139068320071,0.9998535244950074,9.908908404528989e-05,4.738642094731233e-05,0.9999439837913328,1.1724238630573646e-05,0.9999484776450549,1.0560822551292809e-05,0.9977206275776551,0.0006278939542109013
54,512,26,26,0.8285591610700475,0.1032585348557293,0.06818230407422311,0.8526464265989434,0.087242081160698,0.060111492240358715,0.5783221297495266,0.2631695671696351,0.15850830308083727,0.9961008086578577,0.0032727872829322164,0.0006264040592101178,0.9999439837913328,1.1724238630573646e-05,0.9999484776450549,1.0560822551292809e-05,0.9977206275776551,0.0006278939542109013
60,512,26,26,0.7533169189631193,0.13987935507309285,0.10680372596378747,0.7641760315257509,0.13270868802572522,0.1031152804485238,0.5092675095297524,0.2832538925201756,0.2074785979500707,0.9839421711741329,0.01269371008153104,0.0033641187443360357,0.9999439837913328,1.1724238630573646e-05,0.9999484776450549,1.0560822551292809e-05,0.9977206275776551,0.0006278939542109013
62,1024,13,13,0.7431036485313324,0.16203267008660205,0.09486368138206361,0.7411007819227639,0.16445597122701905,0.09444324685021505,0.25626932185570284,0.4076130613742345,0.336117616770029,0.9542704353858907,0.040999135269201396,0.004730429344907834,0.9999439837913328,1.1724238630573646e-05,0.9999484776450549,1.0560822551292809e-05,0.9977206275776551,0.0006278939542109013
63,512,13,13,0.7199276840519302,0.18405940147384117,0.0960129144742275,0.7273434548807479,0.1795104627552789,0.09314608236397212,0.2560953820259583,0.4271608299917299,0.31674378798229397,0.9819379330380905,0.016055027653899854,0.0020070393080096087,0.9999439837913328,1.1724238630573646e-05,0.9999484776450549,1.0560822551292809e-05,0.9977206275776551,0.0006278939542109013
75,512,13,13,0.7974777595896939,0.14667139708945062,0.05585084332085489,0.7992517935037791,0.14504119580475885,0.055707010691461424,0.34382783609529016,0.4069609914227777,0.24921117248192284,0.9777666533298177,0.020925983265022097,0.0013073634051602764,0.9999439837913328,1.1724238630573646e-05,0.9999484776450549,1.0560822551292809e-05,0.9977206275776551,0.0006278939542109013
81,255,13,13,0.995691902617044,0.003852000673020772,0.0004560967099351662,0.9954671643326992,0.004077467475332444,0.0004553681919684301,0.6623517920525992,0.2884462684705778,0.0492019394768228,0.9999731344400206,2.6557125233475852e-05,3.0843474587503e-07,0.9999439837913328,1.1724238630573646e-05,0.9999484776450549,1.0560822551292809e-05,0.9977206275776551,0.0006278939542109013
84,256,13,13,0.9109271444479169,0.07321706326472631,0.015855792287356583,0.9162774101203865,0.06936048843673179,0.014362101442881615,0.5319346737534397,0.33790454105097795,0.13016078519557805,0.993017728843307,0.0068233932627212125,0.00015887789397166878,0.9999439837913328,1.1724238630573646e-05,0.9999484776450549,1.0560822551292809e-05,0.9977206275776551,0.0006278939542109013
92,512,26,26,0.985650197273862,0.010576956655632118,0.0037728460705058523,0.9867393164462431,0.009876524695034881,0.0033841588587220847,0.8144575704433361,0.140062091238679,0.04548033831798461,0.9999284310977286,6.52630731717975e-05,6.305829099689112e-06,0.9999439837913328,1.1724238630573646e-05,0.9999484776450549,1.0560822551292809e-05,0.9977206275776551,0.0006278939542109013
93,255,26,26,0.9991425521449859,0.0007013755928246098,0.00015607226218963537,0.9992557726160358,0.0006060655434729018,0.0001381618404915533,0.8286297941024346,0.14127009530408038,0.03010011059348479,0.9999996870376843,2.9385655622404065e-07,1.9105759440382324e-08,0.9999439837913328,1.1724238630573646e-05,0.9999484776450549,1.0560822551292809e-05,0.9977206275776551,0.0006278939542109013
105,255,52,52,0.9996329859615523,0.00032767326344070453,3.934077500722635e-05,0.9996220617776017,0.00033964595926691364,3.829226313180813e-05,0.9415942325281783,0.05330089242459466,0.005104875047226782,0.9999999181350446,8.124158452800129e-08,6.233709120996189e-10,0.9999439837913328,1.1724238630573646e-05,0.9999484776450549,1.0560822551292809e-05,0.9977206275776551,0.0006278939542109013
